size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
110336,0,0,341375,0,0,31103,431,0
110592,0,0,354188,0,0,32943,432,0
110848,0,0,343828,0,0,30997,433,0
111104,0,0,344294,0,0,31106,434,0
111360,0,0,348576,0,0,31874,435,0
111616,0,0,354566,0,0,33505,436,0
111872,0,0,346989,0,0,31408,437,0
112128,0,0,356562,0,0,31217,438,0
112384,0,0,346676,0,0,31635,439,0
112640,0,0,357841,0,0,34628,440,0
112896,0,0,350697,0,0,31608,441,0
113152,0,0,349915,0,0,31893,442,0
113408,0,0,352340,0,0,31851,443,0
113664,0,0,360793,0,0,34050,444,0
113920,0,0,352620,0,0,32101,445,0
114176,0,0,357784,0,0,31989,446,0
114432,0,0,354454,0,0,32069,447,0
114688,0,0,389490,0,0,34166,448,0
114944,0,0,356958,0,0,31868,449,0
115200,0,0,358330,0,0,32306,450,0
115456,0,0,362656,0,0,32275,451,0
115712,0,0,371533,0,0,35755,452,0
115968,0,0,364822,0,0,32555,453,0
116224,0,0,363184,0,0,32971,454,0
116480,0,0,364144,0,0,32405,455,0
116736,0,0,371248,0,0,35185,456,0
116992,0,0,364599,0,0,32626,457,0
117248,0,0,372709,0,0,32687,458,0
117504,0,0,369876,0,0,33349,459,0
117760,0,0,378450,0,0,34687,460,0
118016,0,0,368108,0,0,32853,461,0
118272,0,0,367808,0,0,33017,462,0
118528,0,0,372094,0,0,33240,463,0
118784,0,0,378417,0,0,35437,464,0
119040,0,0,372171,0,0,33261,465,0
119296,0,0,370708,0,0,32872,466,0
119552,0,0,372336,0,0,33082,467,0
119808,0,0,386322,0,0,35471,468,0
120064,0,0,376802,0,0,33522,469,0
120320,0,0,378268,0,0,33656,470,0
120576,0,0,378962,0,0,33581,471,0
120832,0,0,387749,0,0,35751,472,0
121088,0,0,378317,0,0,33574,473,0
121344,0,0,382837,0,0,37628,474,0
121600,0,0,381491,0,0,34052,475,0
121856,0,0,389548,0,0,35828,476,0
122112,0,0,391033,0,0,34393,477,0
122368,0,0,381799,0,0,34306,478,0
122624,0,0,382518,0,0,34344,479,0
122880,0,0,393529,0,0,36128,480,0
123136,0,0,386265,0,0,34115,481,0
123392,0,0,386988,0,0,34490,482,0
123648,0,0,386177,0,0,34660,483,0
123904,0,0,396950,0,0,36241,484,0
124160,0,0,391277,0,0,35075,485,0
124416,0,0,395745,0,0,34946,486,0
124672,0,0,387636,0,0,34342,487,0
124928,0,0,419313,0,0,36887,488,0
125184,0,0,392358,0,0,35096,489,0
125440,0,0,396597,0,0,34885,490,0
125696,0,0,393142,0,0,35057,491,0
125952,0,0,401267,0,0,37607,492,0
126208,0,0,394299,0,0,35151,493,0
126464,0,0,408059,0,0,37507,494,0
126720,0,0,408382,0,0,45431,495,0
126976,0,0,421021,0,0,44298,496,0
127232,0,0,407070,0,0,41308,497,0
127488,0,0,425167,0,0,49172,498,0
127744,0,0,444381,0,0,52978,499,0
128000,0,0,493855,0,0,76199,500,0
128256,0,0,458336,0,0,61863,501,0
